timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734109655306,310,HTTP Request,200,OK,for 50 samples 1-2,text,true,,85017,183,2,5,https://cse.buet.ac.bd/moodle/,227,0,99
1734109655594,59,Moodle/moodle/theme/image.php/classic/core/1731384351/f/spreadsheet-473,200,OK,for 50 samples 1-1,bin,true,,1325,522,2,5,https://cse.buet.ac.bd/moodle/theme/image.php/classic/core/1731384351/f/spreadsheet,59,0,0
1734109655489,164,Home/public/img/program/pg-ds.jpg-449,200,OK,for 100 samples 2-1,bin,true,,115963,469,3,5,https://cse.buet.ac.bd/public/img/program/pg-ds.jpg,56,0,0
1734109655336,317,Moodle/v1/profile-435,200,OK,for 100 samples 2-3,text,true,,941,1292,3,5,https://profile.accounts.firefox.com/v1/profile,317,0,82
1734109655594,173,Moodle/moodle/-440,200,OK,for 100 samples 2-2,text,true,,12081,517,3,5,https://cse.buet.ac.bd/moodle/?redirect=0,172,0,0
1734109655654,156,Moodle/moodle/mod/forum/view.php-474,200,OK,for 50 samples 1-1,text,true,,15885,541,2,5,https://cse.buet.ac.bd/moodle/mod/forum/view.php?id=47,155,0,0
1734109655654,206,Home/public/img/service/Consultancy.jpg-452,200,OK,for 100 samples 2-1,bin,true,,157553,475,3,5,https://cse.buet.ac.bd/public/img/service/Consultancy.jpg,64,0,0
1734109655810,73,Home/-415,200,OK,for 50 samples 1-1,text,true,,7496,448,2,5,https://cse.buet.ac.bd/,73,0,0
1734109655654,277,Moodle/complete/search-436,200,OK,for 100 samples 2-3,text,true,,1927,293,3,5,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,277,0,144
1734109655616,332,Moodle/v1/profile-460,200,OK,for 50 samples 1-2,text,true,,941,1292,2,5,https://profile.accounts.firefox.com/v1/profile,332,0,89
1734109655767,219,Moodle/moodle/course/view.php-441,200,OK,for 100 samples 2-2,text,true,,10802,1599,3,5,https://cse.buet.ac.bd/moodle/login/index.php,93,0,0
1734109655767,93,Moodle/moodle/course/view.php-441-0,303,See Other,for 100 samples 2-2,text,true,,2099,535,3,5,https://cse.buet.ac.bd/moodle/course/view.php?id=69,93,0,0
1734109655860,67,Moodle/moodle/course/view.php-441-1,303,See Other,for 100 samples 2-2,text,true,,2010,535,3,5,https://cse.buet.ac.bd/moodle/enrol/index.php?id=69,67,0,0
1734109655927,59,Moodle/moodle/course/view.php-441-2,200,OK,for 100 samples 2-2,text,true,,6693,529,3,5,https://cse.buet.ac.bd/moodle/login/index.php,59,0,0
1734109655986,78,Moodle/moodle/my/courses.php-443,200,OK,for 100 samples 2-2,text,true,,8814,528,3,5,https://cse.buet.ac.bd/moodle/my/courses.php,78,0,0
1734109655860,314,Home/submit/firefox-desktop/newtab/1/e4643b50-a43e-43b0-8c77-cdea35172535-447,200,OK,for 100 samples 2-1,text,true,,803,3162,3,5,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/e4643b50-a43e-43b0-8c77-cdea35172535,314,0,0
1734109655931,243,Moodle/moodle/-437,200,OK,for 100 samples 2-3,text,true,,12085,455,3,5,https://cse.buet.ac.bd/moodle/,243,0,79
1734109655884,296,Home/submit/telemetry/486f272a-7512-4efb-8700-65d97f24871d/event/Firefox/133.0.3/release/20241209150345?v=4-416,200,OK,for 50 samples 1-1,text,true,,844,7651,2,5,https://incoming.telemetry.mozilla.org/submit/telemetry/486f272a-7512-4efb-8700-65d97f24871d/event/Firefox/133.0.3/release/20241209150345?v=4,296,0,0
1734109655949,254,Moodle/complete/search-461,200,OK,for 50 samples 1-2,text,true,,1921,293,2,5,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,254,0,131
1734109656064,151,Home/complete/search-444,200,OK,for 100 samples 2-2,text,true,,1921,293,3,5,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,151,0,0
1734109656180,117,Home/complete/search-417,200,OK,for 50 samples 1-1,text,true,,4146,291,2,5,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,117,0,0
1734109656203,117,Moodle/complete/search-462,200,OK,for 50 samples 1-2,text,true,,1493,294,2,5,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,117,0,0
1734109656215,130,Home/complete/search-445,200,OK,for 100 samples 2-2,text,true,,1493,294,4,6,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,130,0,0
1734109656297,118,Home/complete/search-419,200,OK,for 50 samples 1-1,text,true,,1493,294,2,6,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,118,0,0
1734109656174,249,Home/public/img/service/Outreach.jpg-453,200,OK,for 100 samples 2-1,bin,true,,191370,472,4,6,https://cse.buet.ac.bd/public/img/service/Outreach.jpg,50,0,0
1734109656345,79,Home/-446,200,OK,for 100 samples 2-2,text,true,,7496,448,4,6,https://cse.buet.ac.bd/,78,0,0
1734109656424,70,Home/public/img/Arrow-l.png-448,200,OK,for 100 samples 2-2,bin,true,,956,463,4,6,https://cse.buet.ac.bd/public/img/Arrow-l.png,70,0,0
1734109656175,324,Moodle/submit/firefox-desktop/newtab/1/6d103e41-e065-47fb-98ba-863943ccfa79-439,200,OK,for 100 samples 2-3,text,true,,790,3082,4,6,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/6d103e41-e065-47fb-98ba-863943ccfa79,324,0,79
1734109656320,183,Moodle/moodle/-463,200,OK,for 50 samples 1-2,text,true,,12080,455,2,6,https://cse.buet.ac.bd/moodle/,183,0,0
1734109656415,122,Home/complete/search-418,200,OK,for 50 samples 1-1,text,true,,1924,293,2,6,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,122,0,0
1734109656494,63,Home/public/img/Arrow-r.png-450,200,OK,for 100 samples 2-2,bin,true,,950,463,4,6,https://cse.buet.ac.bd/public/img/Arrow-r.png,63,0,0
1734109656423,220,Home/public/img/service/Training.jpg-451,200,OK,for 100 samples 2-1,bin,true,,199284,472,4,6,https://cse.buet.ac.bd/public/img/service/Training.jpg,71,0,0
1734109656337,340,Moodle/v1/profile-435,200,OK,for 100 samples 2-4,text,true,,941,1292,4,6,https://profile.accounts.firefox.com/v1/profile,340,0,99
1734109656499,179,Moodle/moodle/-440,200,OK,for 100 samples 2-3,text,true,,12079,517,4,6,https://cse.buet.ac.bd/moodle/?redirect=0,179,0,0
1734109656538,179,Home/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-421,200,OK,for 50 samples 1-1,text,true,,942,395,2,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US,179,0,129
1734109656643,91,Home/home/ra-454,200,OK,for 100 samples 2-1,text,true,,5006,496,4,6,https://cse.buet.ac.bd/home/ra,91,0,0
1734109656557,198,Home/public/img/program/pg-ds.jpg-449,200,OK,for 100 samples 2-2,bin,true,,115963,469,4,6,https://cse.buet.ac.bd/public/img/program/pg-ds.jpg,62,0,0
1734109656718,78,Home/-420,200,OK,for 50 samples 1-1,text,true,,7496,448,2,6,https://cse.buet.ac.bd/,78,0,0
1734109656735,79,Home/-455,200,OK,for 100 samples 2-1,text,true,,7496,448,4,6,https://cse.buet.ac.bd/,79,0,0
1734109656504,371,Moodle/submit/firefox-desktop/newtab/1/791807dd-9115-4959-9463-972be0951073-465,200,OK,for 50 samples 1-2,text,true,,877,3189,2,6,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/791807dd-9115-4959-9463-972be0951073,371,0,73
1734109656815,82,Home/home/pg_cc-456,200,OK,for 100 samples 2-1,text,true,,4623,499,4,6,https://cse.buet.ac.bd/home/pg_cc,82,0,0
1734109656678,247,Moodle/moodle/course/view.php-441,200,OK,for 100 samples 2-3,text,true,,10800,1599,4,6,https://cse.buet.ac.bd/moodle/login/index.php,88,0,0
1734109656678,88,Moodle/moodle/course/view.php-441-0,303,See Other,for 100 samples 2-3,text,true,,2099,535,4,6,https://cse.buet.ac.bd/moodle/course/view.php?id=69,88,0,0
1734109656766,78,Moodle/moodle/course/view.php-441-1,303,See Other,for 100 samples 2-3,text,true,,2010,535,4,6,https://cse.buet.ac.bd/moodle/enrol/index.php?id=69,78,0,0
1734109656844,81,Moodle/moodle/course/view.php-441-2,200,OK,for 100 samples 2-3,text,true,,6691,529,4,6,https://cse.buet.ac.bd/moodle/login/index.php,81,0,0
1734109656755,196,Home/public/img/service/Consultancy.jpg-452,200,OK,for 100 samples 2-2,bin,true,,157553,475,4,6,https://cse.buet.ac.bd/public/img/service/Consultancy.jpg,64,0,0
1734109656677,284,Moodle/complete/search-436,200,OK,for 100 samples 2-4,text,true,,1923,293,4,6,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,284,0,141
1734109656897,74,Notice/home/notice-457,200,OK,for 100 samples 2-1,text,true,,3583,510,4,6,https://cse.buet.ac.bd/home/notice,74,0,0
1734109656925,104,Moodle/moodle/my/courses.php-443,200,OK,for 100 samples 2-3,text,true,,8816,528,4,6,https://cse.buet.ac.bd/moodle/my/courses.php,104,0,0
1734109656875,186,Moodle/moodle/-466,200,OK,for 50 samples 1-2,text,true,,12080,517,2,6,https://cse.buet.ac.bd/moodle/?redirect=0,185,0,0
1734109656797,293,Home/submit/firefox-desktop/newtab/1/f58e1b2d-4edc-4252-ac32-76c24aee5a4a-422,200,OK,for 50 samples 1-1,text,true,,870,3164,2,6,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/f58e1b2d-4edc-4252-ac32-76c24aee5a4a,293,0,0
1734109656971,149,Notice/home/download/1300-458,200,OK,for 100 samples 2-1,text,true,,100268,518,4,6,https://cse.buet.ac.bd/home/download/1300,75,0,0
1734109657030,125,Home/complete/search-444,200,OK,for 100 samples 2-3,text,true,,1923,293,4,6,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,125,0,0
